,Date,btc,eth,bnc
317,2018-06-07,7678.240234,605.187012,16.2631
318,2018-06-08,7624.919922,601.077026,16.2738
319,2018-06-09,7531.97998,597.562012,15.9632
320,2018-06-10,6786.02002,526.479004,14.1842
321,2018-06-11,6906.919922,533.283997,15.3835
322,2018-06-12,6582.359863,496.842987,15.2262
323,2018-06-13,6349.899902,477.493988,14.5891
324,2018-06-14,6675.350098,519.742004,14.8953
325,2018-06-15,6456.580078,491.003998,15.0481
326,2018-06-16,6550.160156,499.641998,15.8092
327,2018-06-17,6499.27002,500.447998,16.5788
328,2018-06-18,6734.819824,518.890991,16.8797
329,2018-06-19,6769.939941,537.95697,16.6996
330,2018-06-20,6776.549805,536.268005,16.061899
331,2018-06-21,6729.740234,527.367004,17.053301
332,2018-06-22,6083.689941,465.816986,15.5939
333,2018-06-23,6162.47998,474.519989,15.5512
334,2018-06-24,6173.22998,457.671997,14.4476
335,2018-06-25,6249.180176,460.309998,14.9209
336,2018-06-26,6093.669922,432.772003,14.12
337,2018-06-27,6157.129883,442.36499,14.0501
338,2018-06-28,5903.439941,422.36499,14.1246
339,2018-06-29,6218.299805,436.009003,14.5086
340,2018-06-30,6404.0,455.179993,14.6573
341,2018-07-01,6385.819824,453.917999,14.4041
342,2018-07-02,6614.180176,475.346985,14.5706
343,2018-07-03,6529.589844,464.195007,14.1715
344,2018-07-04,6597.549805,467.317993,14.0055
345,2018-07-05,6639.140137,474.411987,13.8505
346,2018-07-06,6673.5,474.011993,13.5296
347,2018-07-07,6856.930176,491.660004,14.4048
348,2018-07-08,6773.879883,489.118988,13.9919
349,2018-07-09,6741.75,476.682007,13.6645
350,2018-07-10,6329.950195,434.424011,12.7613
351,2018-07-11,6394.709961,446.518005,12.7049
352,2018-07-12,6228.810059,430.074005,12.0706
353,2018-07-13,6238.049805,434.027008,12.1801
354,2018-07-14,6276.120117,436.085999,12.0965
355,2018-07-15,6359.640137,449.850006,12.2891
356,2018-07-16,6741.75,480.65799,13.2373
357,2018-07-17,7321.040039,501.002014,13.7128
358,2018-07-18,7370.779785,480.513,12.8648
359,2018-07-19,7466.859863,469.618988,12.918
360,2018-07-20,7354.129883,450.697998,12.0709
361,2018-07-21,7419.290039,462.436005,12.1853
362,2018-07-22,7418.490234,459.657013,12.1199
363,2018-07-23,7711.109863,450.852997,12.0199
364,2018-07-24,8424.269531,479.372986,12.1451
365,2018-07-25,8181.390137,472.493011,12.9394
366,2018-07-26,7951.580078,464.036987,13.3973
367,2018-07-27,8165.009766,469.665985,13.9227
368,2018-07-28,8192.150391,466.89801,14.6017
369,2018-07-29,8218.459961,466.665009,14.0212
370,2018-07-30,8180.47998,457.080994,13.2169
371,2018-07-31,7780.439941,433.867004,13.7754
372,2018-08-01,7624.910156,420.747009,13.5739
373,2018-08-02,7567.149902,412.621002,14.1769
374,2018-08-03,7434.390137,418.261993,14.1346
375,2018-08-04,7032.850098,407.252014,13.8424
376,2018-08-05,7068.47998,410.515991,13.6232
